,Degree Centrality,Betweenness,Closeness
ONE,0.09285714285714286,0.1825657108721625,0.17539609189331926
AMERICA,0.017857142857142856,0.046171701655572626,0.1450906509392748
NEWS,0.007142857142857143,0.004147465437788019,0.11657160407160408
NETWORK,0.0035714285714285713,0.0,0.09722262880562062
DAN,0.007142857142857143,0.020225294418842805,0.11772864232541652
BALL,0.010714285714285714,0.016359447004608296,0.09884300595238096
PRESIDENT,0.014285714285714285,0.012019969278033794,0.1433372895986189
TRUMP,0.039285714285714285,0.1156455879842977,0.17736315086782378
WHITE,0.007142857142857143,0.017365591397849475,0.1327122877122877
HOUSE,0.014285714285714285,0.01746287762416796,0.11571864111498259
WALL,0.024999999999999998,0.028417818740399385,0.10782873376623378
THE,0.007142857142857143,0.004147465437788019,0.11391270794031899
REAL,0.017857142857142856,0.042499573306024954,0.14099448100191042
STORY,0.007142857142857143,0.01631848438300051,0.11700281838999473
OAN,0.017857142857142856,0.02303379416282642,0.10832110241356818
IMPEACHMENT,0.007142857142857143,0.0005760368663594475,0.13653134635149025
TRIAL,0.007142857142857143,0.0006912442396313364,0.13536274709598534
VOTER,0.007142857142857143,0.004147465437788019,0.10685730373230375
FRAUD,0.010714285714285714,0.028213005632360472,0.13034242543171115
ELECTION,0.024999999999999998,0.12416794674859186,0.1636022167487685
AUDIT,0.017857142857142856,0.032295613585936155,0.13872702589807853
ARIZ,0.02142857142857143,0.08827103601297139,0.14290555077452669
SENATE,0.014285714285714285,0.010257723160948966,0.13052171349970526
SOCIAL,0.0035714285714285713,0.0,0.0035714285714285713
MEDIA,0.0035714285714285713,0.0,0.0035714285714285713
LEGAL,0.010714285714285714,0.02434715821812596,0.13852450469238792
TEAM,0.010714285714285714,0.008269329237071172,0.1125614302660566
2020,0.024999999999999998,0.07678955453149007,0.1694451530612245
BIG,0.0035714285714285713,0.0,0.0035714285714285713
TECH,0.0035714285714285713,0.0,0.0035714285714285713
CHRISTINA,0.0035714285714285713,0.0,0.0035714285714285713
BOBB,0.0035714285714285713,0.0,0.0035714285714285713
TRUMPS,0.0035714285714285713,0.0,0.11515690013869626
JOBS,0.010714285714285714,0.008269329237071172,0.13215777954635893
REPORT,0.0035714285714285713,0.0,0.10782873376623378
GAVIN,0.007142857142857143,0.0,0.015225563909774434
NEWSOM,0.007142857142857143,0.0,0.015225563909774434
SEN,0.014285714285714285,0.020327700972862264,0.10280529329825104
RAND,0.007142857142857143,0.0,0.08769804594665963
PAUL,0.014285714285714285,0.008269329237071172,0.08786044973544975
MARICOPA,0.010714285714285714,0.02578853046594982,0.11743723479490807
COUNTY,0.014285714285714285,0.012365591397849462,0.0984328689982217
GOV,0.02142857142857143,0.0006400409626216078,0.024107142857142855
COVID19,0.017857142857142856,0.028417818740399385,0.1377202985693552
RESTRICTIONS,0.007142857142857143,0.004147465437788019,0.11176594312636716
VACCINE,0.007142857142857143,0.004147465437788019,0.11176594312636716
SECY,0.010714285714285714,0.009264379586960234,0.1056673560292714
POMPEO,0.0035714285714285713,0.0,0.08951819407008087
GETREAL,0.0035714285714285713,0.0,0.0845715558950853
HUNTER,0.0035714285714285713,0.0,0.12651904761904761
BIDEN,0.04642857142857143,0.09247098480969462,0.16137633624878522
TOM,0.0035714285714285713,0.0,0.0035714285714285713
FITTON,0.0035714285714285713,0.0,0.0035714285714285713
INTEGRITY,0.0035714285714285713,0.0,0.12788313438582982
SAN,0.007142857142857143,2.560163850486431e-05,0.007142857142857143
FRANCISCO,0.0035714285714285713,0.0,0.0047619047619047615
DEAL,0.007142857142857143,0.004630909711554871,0.13575005109339874
MITCH,0.007142857142857143,0.004147465437788019,0.0912396978021978
ROSCHELLE,0.0035714285714285713,0.0,0.07894283337294984
CHRIS,0.007142857142857143,0.004147465437788019,0.0912396978021978
MARKOWSKI,0.0035714285714285713,0.0,0.07894283337294984
LEFTS,0.0035714285714285713,0.0,0.09536611629576454
ADAM,0.0035714285714285713,0.0,0.0035714285714285713
GUILLETTE,0.0035714285714285713,0.0,0.0035714285714285713
TONIGHT,0.010714285714285714,0.008269329237071172,0.11418686608217295
FOCUS,0.0035714285714285713,0.0,0.09555819306574595
RUDY,0.0035714285714285713,0.0,0.0035714285714285713
GIULIANI,0.0035714285714285713,0.0,0.0035714285714285713
NOVEMBER,0.0035714285714285713,0.0,0.10782873376623378
RESULTS,0.0035714285714285713,0.0,0.11216227625802094
ATTORNEY,0.010714285714285714,0.008269329237071172,0.1125614302660566
GENERAL,0.0035714285714285713,0.0,0.09441719971570718
STATE,0.02142857142857143,0.08283922171018938,0.12307300352047434
SENATOR,0.0035714285714285713,0.0,0.10170341448476497
FORENSIC,0.007142857142857143,0.0006208397337429596,0.12196566287183254
BORDER,0.010714285714285714,0.03568868407578085,0.1296301717408275
VOTING,0.017857142857142856,0.016436251920122887,0.10758422416585683
MACHINES,0.0035714285714285713,0.0,0.0908901204159825
CALIF,0.010714285714285714,0.00015360983102918587,0.019285714285714285
CHANEL,0.0035714285714285713,0.0,0.07920641545432866
RION,0.007142857142857143,0.004147465437788019,0.09159197462768892
JACK,0.0035714285714285713,0.0,0.0035714285714285713
POSOBIEC,0.0035714285714285713,0.0,0.0035714285714285713
TAYLOR,0.010714285714285714,0.004147465437788019,0.08868157543391189
GREENE,0.0035714285714285713,0.0,0.07702052411873841
JOE,0.0035714285714285713,0.0,0.12651904761904761
ADMIN,0.0035714285714285713,0.0,0.12651904761904761
DAY,0.007142857142857143,0.004147465437788019,0.13536274709598534
GAMES,0.007142857142857143,0.004147465437788019,0.13536274709598534
RELIEF,0.007142857142857143,0.004147465437788019,0.11176594312636716
COVID,0.0035714285714285713,0.0,0.09385686025151901
GAMESTOP,0.0035714285714285713,0.0,0.0047619047619047615
STOCK,0.007142857142857143,2.560163850486431e-05,0.007142857142857143
SAGA,0.0035714285714285713,0.0,0.0047619047619047615
ARREST,0.007142857142857143,0.004147465437788019,0.09682580174927115
STEPHEN,0.007142857142857143,0.004147465437788019,0.0912396978021978
MOORE,0.0035714285714285713,0.0,0.07894283337294984
ROB,0.0035714285714285713,0.0,0.0035714285714285713
ODONNELL,0.0035714285714285713,0.0,0.0035714285714285713
OPHELIE,0.0035714285714285713,0.0,0.0035714285714285713
JACOBSON,0.0035714285714285713,0.0,0.0035714285714285713
TOMMY,0.0035714285714285713,0.0,0.0035714285714285713
HICKS,0.0035714285714285713,0.0,0.0035714285714285713
BRUCE,0.0035714285714285713,0.0,0.0035714285714285713
LEVELL,0.0035714285714285713,0.0,0.0035714285714285713
PART,0.0035714285714285713,0.0,0.09441719971570718
ALLEGATIONS,0.0035714285714285713,0.0,0.09037074829931974
RKY,0.0035714285714285713,0.0,0.07640039107430412
SAVE,0.0035714285714285713,0.0,0.11628588935574231
PEARSON,0.0035714285714285713,0.0,0.0035714285714285713
SHARP,0.0035714285714285713,0.0,0.0035714285714285713
DEPT,0.0035714285714285713,0.0,0.10170341448476497
MANDATE,0.0035714285714285713,0.0,0.09385686025151901
DONALD,0.007142857142857143,0.0,0.13712324525185798
RECALL,0.014285714285714285,0.0003456221198156682,0.020663265306122447
NEW,0.010714285714285714,7.680491551459293e-05,0.010714285714285714
YORK,0.0035714285714285713,0.0,0.0064285714285714285
DESANTIS,0.0035714285714285713,0.0,0.014464285714285713
MIKE,0.0035714285714285713,0.0,0.0035714285714285713
LINDELL,0.0035714285714285713,0.0,0.0035714285714285713
NATIONAL,0.0035714285714285713,0.0,0.0035714285714285713
SECURITY,0.0035714285714285713,0.0,0.0035714285714285713
CRISIS,0.0035714285714285713,0.0,0.1061401406200064
INVESTIGATION,0.007142857142857143,0.0023190817545656246,0.1330845521939491
KEN,0.0035714285714285713,0.0,0.0035714285714285713
BENNETT,0.0035714285714285713,0.0,0.0035714285714285713
ADMINISTRATION,0.0035714285714285713,0.0,0.12651904761904761
MAILIN,0.0035714285714285713,0.0,0.0047619047619047615
BALLOTS,0.007142857142857143,2.560163850486431e-05,0.007142857142857143
DEFUND,0.0035714285714285713,0.0,0.0035714285714285713
POLICE,0.0035714285714285713,0.0,0.0035714285714285713
JENN,0.0035714285714285713,0.0,0.07920641545432866
